Repetition,Model,Accuracy,F1,Recall,Precision
1,GB,0.9715,0.9723740313550024,0.9715,0.9797619047619047
1,KNN,0.994,0.99375,0.994,0.9947619047619047
1,LR,0.958,0.9572872147599506,0.958,0.9589087560653553
1,PW,0.9099999999999999,0.9111225632954509,0.9099999999999999,0.927495365674394
2,GB,0.9695,0.9697502800693041,0.9695,0.9785636950782614
2,KNN,0.9945,0.9944739189208842,0.9945,0.9946742175130922
2,LR,0.961,0.9604442424411465,0.961,0.9618151215829235
2,PW,0.9189999999999999,0.920122844934381,0.9189999999999999,0.9339629060347528
3,GB,0.9644999999999999,0.9656729808661773,0.9644999999999999,0.9737664440822336
3,KNN,0.993,0.9926515513615382,0.993,0.9935714285714285
3,LR,0.962,0.9612465808467092,0.962,0.9629887843494653
3,PW,0.9174999999999999,0.9197621061706055,0.9174999999999999,0.9384244724928097
4,GB,0.9674999999999999,0.968929388706252,0.9674999999999999,0.9791388676682795
4,KNN,0.991,0.990805008566241,0.991,0.9908332060096766
4,LR,0.958,0.9571223283417062,0.958,0.9577154297819259
4,PW,0.9164999999999999,0.917984214783008,0.9164999999999999,0.933603207575243
5,GB,0.9685,0.9689403785631001,0.9685,0.9759419477664384
5,KNN,0.9949999999999999,0.9949480925578487,0.9949999999999999,0.9949423558897242
5,LR,0.9615,0.9606643220082184,0.9615,0.9618114865459393
5,PW,0.9145,0.9155674853990291,0.9145,0.9283936925339032
6,GB,0.968,0.9682949000839962,0.968,0.9739816849816851
6,KNN,0.992,0.9917378596890843,0.992,0.992694986173247
6,LR,0.962,0.961474079852457,0.962,0.9629618921557943
6,PW,0.9109999999999999,0.9125535791331915,0.9109999999999999,0.9275092741009734
7,GB,0.969,0.9709736381816061,0.969,0.9802497412008282
7,KNN,0.9890000000000001,0.9889182039264137,0.9890000000000001,0.9890423522574553
7,LR,0.9594999999999999,0.9585669606349743,0.9594999999999999,0.9602651691666196
7,PW,0.9095000000000001,0.9096733623291146,0.9095000000000001,0.925292813200063
8,GB,0.9685,0.9698765533758558,0.9685,0.9793275156216333
8,KNN,0.992,0.9919084902133684,0.992,0.9922813852813853
8,LR,0.9629999999999999,0.9620287381200591,0.9629999999999999,0.9645750241940847
8,PW,0.915,0.9146609425140724,0.915,0.9319230918782339
9,GB,0.9650000000000001,0.9663561752819299,0.9650000000000001,0.9736823593073594
9,KNN,0.9884999999999999,0.9883197024587298,0.9884999999999999,0.9885875447016751
9,LR,0.9605,0.9597279976415921,0.9605,0.9615467588359803
9,PW,0.915,0.9155773273693495,0.915,0.9305284570315194
10,GB,0.9724999999999999,0.9735900739195913,0.9724999999999999,0.9812902634089076
10,KNN,0.991,0.9908226556326387,0.991,0.9909083850931678
10,LR,0.9615,0.9608115212835188,0.9615,0.9619275953290962
10,PW,0.917,0.9181683642677019,0.917,0.9327362717934463
11,GB,0.967,0.96777485202842,0.967,0.975003048594598
11,KNN,0.99,0.9899865540963102,0.99,0.9900213032581453
11,LR,0.9550000000000001,0.9541641911149181,0.9550000000000001,0.9557241173634698
11,PW,0.9095000000000001,0.910212471877465,0.9095000000000001,0.9255298083260124
12,GB,0.9705,0.9716744319229909,0.9705,0.9789266151593589
12,KNN,0.9894999999999999,0.9892704219899342,0.9894999999999999,0.9892305194805194
12,LR,0.961,0.9603348435343241,0.961,0.9613885933057087
12,PW,0.9155,0.9170903405908376,0.9155,0.9352052692977558
13,GB,0.966,0.9675850458853376,0.966,0.9769042281918994
13,KNN,0.991,0.9907820208014716,0.991,0.991527972027972
13,LR,0.9555,0.9545541014661356,0.9555,0.9555730572653441
