Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
KNN,mfeat_fac,1,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,1,10,0.965,0.9651834875377284,0.965,0.9674076495586794
KNN,mfeat_fac,2,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,2,10,0.97,0.9701156973108191,0.97,0.9707142857142856
KNN,mfeat_fac,3,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,3,10,0.96,0.960191590608792,0.96,0.9622476646160856
KNN,mfeat_fac,4,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,4,10,0.97,0.9696878357853967,0.97,0.9713852813852814
KNN,mfeat_fac,5,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,5,10,0.985,0.9849968730456536,0.985,0.9852380952380952
KNN,mfeat_fac,6,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,6,10,0.945,0.9446652748193184,0.945,0.9464289511657932
KNN,mfeat_fac,7,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,7,10,0.95,0.949780478400504,0.95,0.9526479076479076
KNN,mfeat_fac,8,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,8,10,0.96,0.9596873890776328,0.96,0.9611654135338346
KNN,mfeat_fac,9,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,9,10,0.95,0.949674208974594,0.95,0.951497303865725
KNN,mfeat_fac,10,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,10,10,0.975,0.9746847088310502,0.975,0.9766233766233768
KNN,mfeat_fac,11,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,11,10,0.95,0.9498686430765422,0.95,0.9537496409006708
KNN,mfeat_fac,12,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,12,10,0.95,0.9498371375370808,0.95,0.9526103709634468
KNN,mfeat_fac,13,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,13,10,0.925,0.9248220939684356,0.925,0.9276640129736105
KNN,mfeat_fac,14,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,14,10,0.945,0.944897548607433,0.945,0.9495238095238095
KNN,mfeat_fac,15,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,15,10,0.975,0.9751125703564728,0.975,0.975952380952381
KNN,mfeat_fac,16,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,9,1.0,1.0,1.0,1.0
KNN,mfeat_fac,16,10,0.965,0.9646893970385626,0.965,0.9663059163059162
KNN,mfeat_fac,17,1,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,2,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,3,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,4,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,5,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,6,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,7,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,8,1.0,1.0,1.0,1.0
KNN,mfeat_fac,17,9,1.0,1.0,1.0,1.0
