,Model,Dataset,Repetition,Fold,Accuracy,F1,Recall,Precision
0,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,1,0.965,0.9638063968551772,0.965,0.9658062770562772
1,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,2,0.95,0.9478991596638656,0.95,0.951948051948052
2,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,3,0.96,0.9588594927477514,0.96,0.962432712215321
3,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,4,0.955,0.9545643188647038,0.955,0.9555122655122656
4,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,5,0.975,0.974592508475692,0.975,0.9751587301587302
5,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,6,0.945,0.9437216089513312,0.945,0.945885093167702
6,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,7,0.985,0.9848686679174484,0.985,0.9849749373433584
7,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,8,0.96,0.959594437643218,0.96,0.9607461166284696
8,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,9,0.96,0.9598587933247754,0.96,0.9604761904761904
9,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",1,10,0.925,0.9251067631555436,0.925,0.9261471861471862
10,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,1,0.965,0.9645732530199796,0.965,0.9650793650793652
11,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,2,0.945,0.944415917843389,0.945,0.9444444444444444
12,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,3,0.97,0.9698008528496334,0.97,0.9720562770562772
13,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,4,0.96,0.9595263328190156,0.96,0.9609791189202954
14,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,5,0.975,0.9741327913279132,0.975,0.975952380952381
15,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,6,0.955,0.9541823367048012,0.955,0.9544805194805196
16,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,7,0.965,0.9649216850757288,0.965,0.9669552669552668
17,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,8,0.975,0.974464303347487,0.975,0.9748955722639931
18,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,9,0.98,0.9798686679174484,0.98,0.9799749373433584
19,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",2,10,0.92,0.9185562835060684,0.92,0.9233333333333332
20,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,1,0.955,0.9540577522605764,0.955,0.9544846965899596
21,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,2,0.94,0.9384754882829336,0.94,0.9407467532467532
22,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,3,0.97,0.9698436052608068,0.97,0.9708840282524492
23,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,4,0.965,0.9642824303799914,0.965,0.9655029284441048
24,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,5,0.96,0.9588801519289324,0.96,0.9593824802648332
25,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,6,0.975,0.9741694133157548,0.975,0.9748319327731092
26,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,7,0.97,0.9698306037137872,0.97,0.9708297258297258
27,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,8,0.98,0.979987492182614,0.98,0.980451127819549
28,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,9,0.955,0.9534965034965036,0.955,0.9625
29,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",3,10,0.95,0.9494423676451916,0.95,0.9502741702741702
30,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,1,0.975,0.9747144596952042,0.975,0.9753968253968256
31,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,2,0.94,0.938877024974586,0.94,0.9396205755029284
32,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,3,0.97,0.9698274767594408,0.97,0.9710678210678212
33,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,4,0.955,0.9543406593406591,0.955,0.9543301435406698
34,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,5,0.94,0.937031117870596,0.94,0.938717742974036
35,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,6,0.985,0.9849807445442876,0.985,0.9857142857142857
36,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,7,0.965,0.9648503528991336,0.965,0.9656208703577124
37,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,8,0.965,0.9647373358348968,0.965,0.9649498746867168
38,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,9,0.965,0.9644809255784864,0.965,0.9644235588972432
39,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",4,10,0.92,0.9173831859197712,0.92,0.9173125996810207
40,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,1,0.97,0.9698364109147164,0.97,0.9706349206349206
41,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,2,0.955,0.9547252747252746,0.955,0.9551196172248804
42,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,3,0.97,0.9695956354300386,0.97,0.969920634920635
43,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,4,0.97,0.969285557334338,0.97,0.9702648332060096
44,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,5,0.98,0.9800848274532484,0.98,0.981818181818182
45,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,6,0.96,0.9595414744374352,0.96,0.9605822527332823
46,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,7,0.985,0.9849968730456536,0.985,0.9852380952380952
47,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,8,0.945,0.9438995493167508,0.945,0.9486471861471862
48,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,9,0.97,0.9687572590011614,0.97,0.971861471861472
49,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",5,10,0.91,0.9059203584235676,0.91,0.9040276716747306
50,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,1,0.975,0.9743708865660085,0.975,0.9766233766233766
51,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,2,0.96,0.9597279549718576,0.96,0.9601629072681704
52,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,3,0.97,0.969971810389012,0.97,0.971147186147186
53,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,4,0.965,0.9645263328190156,0.965,0.9659791189202952
54,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,5,0.97,0.9695956354300386,0.97,0.969920634920635
55,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,6,0.98,0.98,0.98,0.98
56,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,7,0.96,0.9597988843592928,0.96,0.9617342589209597
57,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,8,0.97,0.9696366696366696,0.97,0.9713903743315508
58,LR,"['mfeat_fac', 'mfeat_fou', 'mfeat_zer']",6,9,0.965,0.964291364535267,0.965,0.9650700280112045
